Row ID (First Column),Total Error Count,num_error_404,num_error_500,num_error_403,num_error_406,num_error_410
University of South Carolina-Columbia,6,6,0,0,0,0
University of South Florida,23,23,0,0,0,0
University of Southern California,14,13,1,0,0,0
University of Texas Southwestern Medical Center,13,13,0,0,0,0
University of Utah,44,5,39,0,0,0
University of Vermont,12,11,0,1,0,0
University of Virginia-Main Campus,43,24,13,6,0,0
University of Washington-Seattle Campus,20,9,11,0,0,0
University of Wisconsin-Madison,27,23,4,0,0,0
University of Wisconsin-Milwaukee,18,18,0,0,0,0
Utah State University,2,1,1,0,0,0
Virginia Commonwealth University,12,9,3,0,0,0
Virginia Polytechnic Institute and State University,16,1,15,0,0,0
Washington State University,19,17,2,0,0,0
Washington University in St. Louis,12,9,3,0,0,0
Wayne State University,25,23,2,0,0,0
Weill Medical College of Cornell University,10,4,6,0,0,0
West Virginia University,28,22,6,0,0,0
William & Mary,21,21,0,0,0,0
Worcester Polytechnic Institute,29,15,0,14,0,0
Yale University,19,5,12,2,0,0
