Row ID (First Column),Total Error Count,Num Entries,Error Rate (%),num_error_404,num_error_500,num_error_403,num_error_406,num_error_410
University of Louisiana at Lafayette,3,28,10.71,0,3,0,0,0
University of Louisville,11,46,23.91,10,1,0,0,0
University of Maine,9,48,18.75,9,0,0,0,0
University of Maryland-Baltimore,7,14,50.0,7,0,0,0,0
University of Maryland-College Park,16,46,34.78,12,3,1,0,0
University of Maryland-Baltimore County,25,32,78.12,24,1,0,0,0
University of Massachusetts-Amherst,26,51,50.98,5,19,2,0,0
University of Massachusetts-Lowell,30,51,58.82,28,0,2,0,0
University of Memphis,14,34,41.18,14,0,0,0,0
University of Miami,18,48,37.5,4,14,0,0,0
University of Michigan-Ann Arbor,35,52,67.31,11,2,22,0,0
University of Minnesota-Twin Cities,35,52,67.31,31,2,2,0,0
University of Mississippi,7,36,19.44,4,3,0,0,0
University of Missouri-Columbia,47,51,92.16,5,42,0,0,0
University of Nebraska Medical Center,15,17,88.24,15,0,0,0,0
University of Nebraska-Lincoln,39,44,88.64,35,3,1,0,0
University of Nevada-Las Vegas,42,42,100.0,13,0,29,0,0
"University of Nevada, Reno",22,46,47.83,22,0,0,0,0
University of New Hampshire-Main Campus,37,45,82.22,36,1,0,0,0
University of New Mexico-Main Campus,17,48,35.42,11,6,0,0,0
University of North Carolina at Chapel Hill,38,44,86.36,8,1,29,0,0
University of North Carolina at Charlotte,24,39,61.54,18,6,0,0,0
University of North Texas,5,36,13.89,1,4,0,0,0
University of Notre Dame,12,34,35.29,10,1,1,0,0
University of Oklahoma-Norman Campus,22,43,51.16,22,0,0,0,0
University of Oregon,4,25,16.0,4,0,0,0,0
University of Pennsylvania,22,43,51.16,8,13,1,0,0
University of Pittsburgh-Pittsburgh Campus,19,47,40.43,6,13,0,0,0
University of Rhode Island,6,30,20.0,6,0,0,0,0
University of Rochester,8,39,20.51,8,0,0,0,0
University of South Carolina-Columbia,6,51,11.76,6,0,0,0,0
University of South Florida,23,50,46.0,23,0,0,0,0
University of Southern California,14,50,28.0,13,1,0,0,0
University of Texas Southwestern Medical Center,13,14,92.86,13,0,0,0,0
University of Utah,44,46,95.65,5,39,0,0,0
University of Vermont,12,41,29.27,11,0,1,0,0
University of Virginia-Main Campus,43,50,86.0,24,13,6,0,0
University of Washington-Seattle Campus,20,52,38.46,9,11,0,0,0
University of Wisconsin-Madison,27,53,50.94,23,4,0,0,0
University of Wisconsin-Milwaukee,18,47,38.3,18,0,0,0,0
Utah State University,2,47,4.26,1,1,0,0,0
Virginia Commonwealth University,12,43,27.91,9,3,0,0,0
Virginia Polytechnic Institute and State University,16,49,32.65,1,15,0,0,0
Washington State University,19,48,39.58,17,2,0,0,0
Washington University in St. Louis,12,42,28.57,9,3,0,0,0
Wayne State University,25,46,54.35,23,2,0,0,0
Weill Medical College of Cornell University,10,10,100.0,4,6,0,0,0
West Virginia University,28,51,54.9,22,6,0,0,0
William & Mary,21,31,67.74,21,0,0,0,0
Worcester Polytechnic Institute,29,29,100.0,15,0,14,0,0
Yale University,19,41,46.34,5,12,2,0,0
